input,output,smth,label,tokenized_input
010 t2 t6 .,010 000 001,0 1 2 3,0,"[101, 5890, 2692, 1056, 2475, 1056, 2575, 1012, 102, 5890, 2692, 2199, 25604, 102, 0, 0]"
110 t1 .,110 111,0 1 2,1,"[101, 7287, 1056, 2487, 1012, 102, 7287, 11118, 102, 0, 0, 0, 0, 0, 0, 0]"
001 t3 t6 .,001 101 000,0 1 2 3,1,"[101, 25604, 1056, 2509, 1056, 2575, 1012, 102, 25604, 7886, 2199, 102, 0, 0, 0, 0]"
111 t4 .,111 101,0 1 2,0,"[101, 11118, 1056, 2549, 1012, 102, 11118, 7886, 102, 0, 0, 0, 0, 0, 0, 0]"
111 t1 t4 .,111 100 111,0 1 2 3,1,"[101, 11118, 1056, 2487, 1056, 2549, 1012, 102, 11118, 2531, 11118, 102, 0, 0, 0, 0]"
011 t6 .,011 111,0 1 2,1,"[101, 5890, 2487, 1056, 2575, 1012, 102, 5890, 2487, 11118, 102, 0, 0, 0, 0, 0]"
000 t2 t3 .,000 101 000,0 1 2 3,1,"[101, 2199, 1056, 2475, 1056, 2509, 1012, 102, 2199, 7886, 2199, 102, 0, 0, 0, 0]"
100 t3 .,100 101,0 1 2,0,"[101, 2531, 1056, 2509, 1012, 102, 2531, 7886, 102, 0, 0, 0, 0, 0, 0, 0]"
011 t1 t3 .,011 101 110,0 1 2 3,0,"[101, 5890, 2487, 1056, 2487, 1056, 2509, 1012, 102, 5890, 2487, 7886, 7287, 102, 0, 0]"
000 t5 t2 .,000 001 001,0 1 2 3,1,"[101, 2199, 1056, 2629, 1056, 2475, 1012, 102, 2199, 25604, 25604, 102, 0, 0, 0, 0]"
011 t2 t1 .,011 111 100,0 1 2 3,1,"[101, 5890, 2487, 1056, 2475, 1056, 2487, 1012, 102, 5890, 2487, 11118, 2531, 102, 0, 0]"
000 t8 .,000 010,0 1 2,1,"[101, 2199, 1056, 2620, 1012, 102, 2199, 5890, 2692, 102, 0, 0, 0, 0, 0, 0]"
001 t1 t1 .,001 111 110,0 1 2 3,0,"[101, 25604, 1056, 2487, 1056, 2487, 1012, 102, 25604, 11118, 7287, 102, 0, 0, 0, 0]"
011 t4 t4 .,011 001 111,0 1 2 3,0,"[101, 5890, 2487, 1056, 2549, 1056, 2549, 1012, 102, 5890, 2487, 25604, 11118, 102, 0, 0]"
110 t5 t2 .,110 001 100,0 1 2 3,0,"[101, 7287, 1056, 2629, 1056, 2475, 1012, 102, 7287, 25604, 2531, 102, 0, 0, 0, 0]"
100 t1 t2 .,100 011 111,0 1 2 3,1,"[101, 2531, 1056, 2487, 1056, 2475, 1012, 102, 2531, 5890, 2487, 11118, 102, 0, 0, 0]"
000 t4 t3 .,000 000 111,0 1 2 3,1,"[101, 2199, 1056, 2549, 1056, 2509, 1012, 102, 2199, 2199, 11118, 102, 0, 0, 0, 0]"
000 t3 t6 .,000 111 100,0 1 2 3,1,"[101, 2199, 1056, 2509, 1056, 2575, 1012, 102, 2199, 11118, 2531, 102, 0, 0, 0, 0]"
110 t4 t6 .,110 110 001,0 1 2 3,1,"[101, 7287, 1056, 2549, 1056, 2575, 1012, 102, 7287, 7287, 25604, 102, 0, 0, 0, 0]"
011 t1 t5 .,011 100 111,0 1 2 3,0,"[101, 5890, 2487, 1056, 2487, 1056, 2629, 1012, 102, 5890, 2487, 2531, 11118, 102, 0, 0]"
000 t2 t2 .,000 001 000,0 1 2 3,0,"[101, 2199, 1056, 2475, 1056, 2475, 1012, 102, 2199, 25604, 2199, 102, 0, 0, 0, 0]"
101 t6 .,101 000,0 1 2,1,"[101, 7886, 1056, 2575, 1012, 102, 7886, 2199, 102, 0, 0, 0, 0, 0, 0, 0]"
101 t5 t2 .,101 010 010,0 1 2 3,1,"[101, 7886, 1056, 2629, 1056, 2475, 1012, 102, 7886, 5890, 2692, 5890, 2692, 102, 0, 0]"
110 t4 t6 .,110 111 101,0 1 2 3,0,"[101, 7287, 1056, 2549, 1056, 2575, 1012, 102, 7287, 11118, 7886, 102, 0, 0, 0, 0]"
000 t2 t1 .,000 101 000,0 1 2 3,1,"[101, 2199, 1056, 2475, 1056, 2487, 1012, 102, 2199, 7886, 2199, 102, 0, 0, 0, 0]"
001 t3 t1 .,001 101 000,0 1 2 3,1,"[101, 25604, 1056, 2509, 1056, 2487, 1012, 102, 25604, 7886, 2199, 102, 0, 0, 0, 0]"
100 t3 t2 .,100 111 010,0 1 2 3,0,"[101, 2531, 1056, 2509, 1056, 2475, 1012, 102, 2531, 11118, 5890, 2692, 102, 0, 0, 0]"
000 t6 t1 .,000 110 001,0 1 2 3,0,"[101, 2199, 1056, 2575, 1056, 2487, 1012, 102, 2199, 7287, 25604, 102, 0, 0, 0, 0]"
011 t5 t4 .,011 010 101,0 1 2 3,0,"[101, 5890, 2487, 1056, 2629, 1056, 2549, 1012, 102, 5890, 2487, 5890, 2692, 7886, 102, 0]"
110 t5 t1 .,110 100 000,0 1 2 3,0,"[101, 7287, 1056, 2629, 1056, 2487, 1012, 102, 7287, 2531, 2199, 102, 0, 0, 0, 0]"
100 t1 t1 .,100 011 100,0 1 2 3,0,"[101, 2531, 1056, 2487, 1056, 2487, 1012, 102, 2531, 5890, 2487, 2531, 102, 0, 0, 0]"
100 t4 t5 .,100 111 111,0 1 2 3,1,"[101, 2531, 1056, 2549, 1056, 2629, 1012, 102, 2531, 11118, 11118, 102, 0, 0, 0, 0]"
011 t2 t6 .,011 111 100,0 1 2 3,1,"[101, 5890, 2487, 1056, 2475, 1056, 2575, 1012, 102, 5890, 2487, 11118, 2531, 102, 0, 0]"
011 t7 .,011 100,0 1 2,1,"[101, 5890, 2487, 1056, 2581, 1012, 102, 5890, 2487, 2531, 102, 0, 0, 0, 0, 0]"
110 t2 t3 .,110 101 010,0 1 2 3,0,"[101, 7287, 1056, 2475, 1056, 2509, 1012, 102, 7287, 7886, 5890, 2692, 102, 0, 0, 0]"
000 t2 .,000 101,0 1 2,1,"[101, 2199, 1056, 2475, 1012, 102, 2199, 7886, 102, 0, 0, 0, 0, 0, 0, 0]"
101 t8 .,101 110,0 1 2,0,"[101, 7886, 1056, 2620, 1012, 102, 7886, 7287, 102, 0, 0, 0, 0, 0, 0, 0]"
001 t1 t1 .,001 001 001,0 1 2 3,1,"[101, 25604, 1056, 2487, 1056, 2487, 1012, 102, 25604, 25604, 25604, 102, 0, 0, 0, 0]"
000 t1 t3 .,000 010 011,0 1 2 3,0,"[101, 2199, 1056, 2487, 1056, 2509, 1012, 102, 2199, 5890, 2692, 5890, 2487, 102, 0, 0]"
000 t4 t6 .,000 000 011,0 1 2 3,1,"[101, 2199, 1056, 2549, 1056, 2575, 1012, 102, 2199, 2199, 5890, 2487, 102, 0, 0, 0]"
101 t2 t3 .,101 011 100,0 1 2 3,1,"[101, 7886, 1056, 2475, 1056, 2509, 1012, 102, 7886, 5890, 2487, 2531, 102, 0, 0, 0]"
110 t3 t4 .,110 001 100,0 1 2 3,1,"[101, 7287, 1056, 2509, 1056, 2549, 1012, 102, 7287, 25604, 2531, 102, 0, 0, 0, 0]"
111 t2 .,111 110,0 1 2,0,"[101, 11118, 1056, 2475, 1012, 102, 11118, 7287, 102, 0, 0, 0, 0, 0, 0, 0]"
111 t1 t4 .,111 000 111,0 1 2 3,0,"[101, 11118, 1056, 2487, 1056, 2549, 1012, 102, 11118, 2199, 11118, 102, 0, 0, 0, 0]"
111 t2 t6 .,111 100 110,0 1 2 3,1,"[101, 11118, 1056, 2475, 1056, 2575, 1012, 102, 11118, 2531, 7287, 102, 0, 0, 0, 0]"
010 t4 .,010 010,0 1 2,1,"[101, 5890, 2692, 1056, 2549, 1012, 102, 5890, 2692, 5890, 2692, 102, 0, 0, 0, 0]"
101 t6 .,101 110,0 1 2,0,"[101, 7886, 1056, 2575, 1012, 102, 7886, 7287, 102, 0, 0, 0, 0, 0, 0, 0]"
110 t5 .,110 011,0 1 2,1,"[101, 7287, 1056, 2629, 1012, 102, 7287, 5890, 2487, 102, 0, 0, 0, 0, 0, 0]"
010 t3 t1 .,010 010 101,0 1 2 3,1,"[101, 5890, 2692, 1056, 2509, 1056, 2487, 1012, 102, 5890, 2692, 5890, 2692, 7886, 102, 0]"
001 t4 t3 .,001 100 011,0 1 2 3,1,"[101, 25604, 1056, 2549, 1056, 2509, 1012, 102, 25604, 2531, 5890, 2487, 102, 0, 0, 0]"
111 t3 t4 .,111 110 110,0 1 2 3,1,"[101, 11118, 1056, 2509, 1056, 2549, 1012, 102, 11118, 7287, 7287, 102, 0, 0, 0, 0]"
011 t7 .,011 011,0 1 2,0,"[101, 5890, 2487, 1056, 2581, 1012, 102, 5890, 2487, 5890, 2487, 102, 0, 0, 0, 0]"
111 t2 t3 .,111 100 011,0 1 2 3,1,"[101, 11118, 1056, 2475, 1056, 2509, 1012, 102, 11118, 2531, 5890, 2487, 102, 0, 0, 0]"
011 t3 t6 .,011 001 001,0 1 2 3,0,"[101, 5890, 2487, 1056, 2509, 1056, 2575, 1012, 102, 5890, 2487, 25604, 25604, 102, 0, 0]"
010 t5 t4 .,010 000 010,0 1 2 3,0,"[101, 5890, 2692, 1056, 2629, 1056, 2549, 1012, 102, 5890, 2692, 2199, 5890, 2692, 102, 0]"
100 t4 t1 .,100 111 100,0 1 2 3,1,"[101, 2531, 1056, 2549, 1056, 2487, 1012, 102, 2531, 11118, 2531, 102, 0, 0, 0, 0]"
101 t1 t3 .,101 000 111,0 1 2 3,1,"[101, 7886, 1056, 2487, 1056, 2509, 1012, 102, 7886, 2199, 11118, 102, 0, 0, 0, 0]"
101 t2 t2 .,101 011 111,0 1 2 3,1,"[101, 7886, 1056, 2475, 1056, 2475, 1012, 102, 7886, 5890, 2487, 11118, 102, 0, 0, 0]"
011 t2 t6 .,011 000 000,0 1 2 3,0,"[101, 5890, 2487, 1056, 2475, 1056, 2575, 1012, 102, 5890, 2487, 2199, 2199, 102, 0, 0]"
110 t4 t4 .,110 110 110,0 1 2 3,1,"[101, 7287, 1056, 2549, 1056, 2549, 1012, 102, 7287, 7287, 7287, 102, 0, 0, 0, 0]"
101 t5 t4 .,101 101 000,0 1 2 3,0,"[101, 7886, 1056, 2629, 1056, 2549, 1012, 102, 7886, 7886, 2199, 102, 0, 0, 0, 0]"
100 t1 .,100 011,0 1 2,1,"[101, 2531, 1056, 2487, 1012, 102, 2531, 5890, 2487, 102, 0, 0, 0, 0, 0, 0]"
010 t5 .,010 100,0 1 2,0,"[101, 5890, 2692, 1056, 2629, 1012, 102, 5890, 2692, 2531, 102, 0, 0, 0, 0, 0]"
010 t4 t5 .,010 111 101,0 1 2 3,0,"[101, 5890, 2692, 1056, 2549, 1056, 2629, 1012, 102, 5890, 2692, 11118, 7886, 102, 0, 0]"
111 t8 .,111 111,0 1 2,1,"[101, 11118, 1056, 2620, 1012, 102, 11118, 11118, 102, 0, 0, 0, 0, 0, 0, 0]"
110 t2 t3 .,110 000 111,0 1 2 3,1,"[101, 7287, 1056, 2475, 1056, 2509, 1012, 102, 7287, 2199, 11118, 102, 0, 0, 0, 0]"
011 t3 .,011 000,0 1 2,0,"[101, 5890, 2487, 1056, 2509, 1012, 102, 5890, 2487, 2199, 102, 0, 0, 0, 0, 0]"
101 t6 t6 .,101 000 011,0 1 2 3,1,"[101, 7886, 1056, 2575, 1056, 2575, 1012, 102, 7886, 2199, 5890, 2487, 102, 0, 0, 0]"
110 t3 t4 .,110 000 111,0 1 2 3,0,"[101, 7287, 1056, 2509, 1056, 2549, 1012, 102, 7287, 2199, 11118, 102, 0, 0, 0, 0]"
101 t5 t1 .,101 111 101,0 1 2 3,0,"[101, 7886, 1056, 2629, 1056, 2487, 1012, 102, 7886, 11118, 7886, 102, 0, 0, 0, 0]"
010 t5 .,010 110,0 1 2,1,"[101, 5890, 2692, 1056, 2629, 1012, 102, 5890, 2692, 7287, 102, 0, 0, 0, 0, 0]"
000 t4 t3 .,000 010 010,0 1 2 3,0,"[101, 2199, 1056, 2549, 1056, 2509, 1012, 102, 2199, 5890, 2692, 5890, 2692, 102, 0, 0]"
010 t2 .,010 010,0 1 2,1,"[101, 5890, 2692, 1056, 2475, 1012, 102, 5890, 2692, 5890, 2692, 102, 0, 0, 0, 0]"
010 t3 t2 .,010 010 010,0 1 2 3,1,"[101, 5890, 2692, 1056, 2509, 1056, 2475, 1012, 102, 5890, 2692, 5890, 2692, 5890, 2692, 102]"
101 t5 .,101 010,0 1 2,1,"[101, 7886, 1056, 2629, 1012, 102, 7886, 5890, 2692, 102, 0, 0, 0, 0, 0, 0]"
011 t2 t5 .,011 100 000,0 1 2 3,0,"[101, 5890, 2487, 1056, 2475, 1056, 2629, 1012, 102, 5890, 2487, 2531, 2199, 102, 0, 0]"
100 t5 t2 .,100 101 011,0 1 2 3,1,"[101, 2531, 1056, 2629, 1056, 2475, 1012, 102, 2531, 7886, 5890, 2487, 102, 0, 0, 0]"
011 t3 t6 .,011 100 110,0 1 2 3,1,"[101, 5890, 2487, 1056, 2509, 1056, 2575, 1012, 102, 5890, 2487, 2531, 7287, 102, 0, 0]"
010 t8 .,010 010,0 1 2,0,"[101, 5890, 2692, 1056, 2620, 1012, 102, 5890, 2692, 5890, 2692, 102, 0, 0, 0, 0]"
000 t4 t4 .,000 000 000,0 1 2 3,1,"[101, 2199, 1056, 2549, 1056, 2549, 1012, 102, 2199, 2199, 2199, 102, 0, 0, 0, 0]"
000 t8 .,000 001,0 1 2,0,"[101, 2199, 1056, 2620, 1012, 102, 2199, 25604, 102, 0, 0, 0, 0, 0, 0, 0]"
111 t1 t5 .,111 100 101,0 1 2 3,1,"[101, 11118, 1056, 2487, 1056, 2629, 1012, 102, 11118, 2531, 7886, 102, 0, 0, 0, 0]"
101 t2 t4 .,101 011 101,0 1 2 3,1,"[101, 7886, 1056, 2475, 1056, 2549, 1012, 102, 7886, 5890, 2487, 7886, 102, 0, 0, 0]"
001 t5 t5 .,001 000 001,0 1 2 3,1,"[101, 25604, 1056, 2629, 1056, 2629, 1012, 102, 25604, 2199, 25604, 102, 0, 0, 0, 0]"
011 t1 .,011 010,0 1 2,1,"[101, 5890, 2487, 1056, 2487, 1012, 102, 5890, 2487, 5890, 2692, 102, 0, 0, 0, 0]"
010 t5 t1 .,010 110 111,0 1 2 3,1,"[101, 5890, 2692, 1056, 2629, 1056, 2487, 1012, 102, 5890, 2692, 7287, 11118, 102, 0, 0]"
101 t2 t5 .,101 011 100,0 1 2 3,1,"[101, 7886, 1056, 2475, 1056, 2629, 1012, 102, 7886, 5890, 2487, 2531, 102, 0, 0, 0]"
100 t2 t3 .,100 110 001,0 1 2 3,1,"[101, 2531, 1056, 2475, 1056, 2509, 1012, 102, 2531, 7287, 25604, 102, 0, 0, 0, 0]"
000 t4 t4 .,000 101 011,0 1 2 3,0,"[101, 2199, 1056, 2549, 1056, 2549, 1012, 102, 2199, 7886, 5890, 2487, 102, 0, 0, 0]"
111 t1 t2 .,111 100 110,0 1 2 3,1,"[101, 11118, 1056, 2487, 1056, 2475, 1012, 102, 11118, 2531, 7287, 102, 0, 0, 0, 0]"
011 t2 t1 .,011 100 101,0 1 2 3,0,"[101, 5890, 2487, 1056, 2475, 1056, 2487, 1012, 102, 5890, 2487, 2531, 7886, 102, 0, 0]"
100 t6 .,100 000,0 1 2,0,"[101, 2531, 1056, 2575, 1012, 102, 2531, 2199, 102, 0, 0, 0, 0, 0, 0, 0]"
110 t6 t1 .,110 001 001,0 1 2 3,1,"[101, 7287, 1056, 2575, 1056, 2487, 1012, 102, 7287, 25604, 25604, 102, 0, 0, 0, 0]"
100 t2 t5 .,100 110 011,0 1 2 3,1,"[101, 2531, 1056, 2475, 1056, 2629, 1012, 102, 2531, 7287, 5890, 2487, 102, 0, 0, 0]"
011 t3 t1 .,011 100 011,0 1 2 3,1,"[101, 5890, 2487, 1056, 2509, 1056, 2487, 1012, 102, 5890, 2487, 2531, 5890, 2487, 102, 0]"
100 t3 .,100 011,0 1 2,1,"[101, 2531, 1056, 2509, 1012, 102, 2531, 5890, 2487, 102, 0, 0, 0, 0, 0, 0]"
101 t4 t4 .,101 001 100,0 1 2 3,1,"[101, 7886, 1056, 2549, 1056, 2549, 1012, 102, 7886, 25604, 2531, 102, 0, 0, 0, 0]"
000 t4 .,000 000,0 1 2,1,"[101, 2199, 1056, 2549, 1012, 102, 2199, 2199, 102, 0, 0, 0, 0, 0, 0, 0]"
100 t5 t5 .,100 101 010,0 1 2 3,1,"[101, 2531, 1056, 2629, 1056, 2629, 1012, 102, 2531, 7886, 5890, 2692, 102, 0, 0, 0]"
000 t1 t4 .,000 001 100,0 1 2 3,0,"[101, 2199, 1056, 2487, 1056, 2549, 1012, 102, 2199, 25604, 2531, 102, 0, 0, 0, 0]"
001 t2 t2 .,001 001 001,0 1 2 3,1,"[101, 25604, 1056, 2475, 1056, 2475, 1012, 102, 25604, 25604, 25604, 102, 0, 0, 0, 0]"
101 t2 t3 .,101 010 001,0 1 2 3,0,"[101, 7886, 1056, 2475, 1056, 2509, 1012, 102, 7886, 5890, 2692, 25604, 102, 0, 0, 0]"
110 t5 t1 .,110 011 010,0 1 2 3,1,"[101, 7287, 1056, 2629, 1056, 2487, 1012, 102, 7287, 5890, 2487, 5890, 2692, 102, 0, 0]"
001 t4 .,001 100,0 1 2,1,"[101, 25604, 1056, 2549, 1012, 102, 25604, 2531, 102, 0, 0, 0, 0, 0, 0, 0]"
010 t5 t5 .,010 001 000,0 1 2 3,0,"[101, 5890, 2692, 1056, 2629, 1056, 2629, 1012, 102, 5890, 2692, 25604, 2199, 102, 0, 0]"
110 t1 t5 .,110 111 111,0 1 2 3,1,"[101, 7287, 1056, 2487, 1056, 2629, 1012, 102, 7287, 11118, 11118, 102, 0, 0, 0, 0]"
000 t5 .,000 011,0 1 2,0,"[101, 2199, 1056, 2629, 1012, 102, 2199, 5890, 2487, 102, 0, 0, 0, 0, 0, 0]"
010 t3 t6 .,010 010 101,0 1 2 3,1,"[101, 5890, 2692, 1056, 2509, 1056, 2575, 1012, 102, 5890, 2692, 5890, 2692, 7886, 102, 0]"
110 t2 .,110 000,0 1 2,1,"[101, 7287, 1056, 2475, 1012, 102, 7287, 2199, 102, 0, 0, 0, 0, 0, 0, 0]"
010 t2 t1 .,010 010 101,0 1 2 3,1,"[101, 5890, 2692, 1056, 2475, 1056, 2487, 1012, 102, 5890, 2692, 5890, 2692, 7886, 102, 0]"
101 t3 t4 .,101 101 101,0 1 2 3,0,"[101, 7886, 1056, 2509, 1056, 2549, 1012, 102, 7886, 7886, 7886, 102, 0, 0, 0, 0]"
111 t1 t3 .,111 100 011,0 1 2 3,1,"[101, 11118, 1056, 2487, 1056, 2509, 1012, 102, 11118, 2531, 5890, 2487, 102, 0, 0, 0]"
010 t3 t1 .,010 000 001,0 1 2 3,0,"[101, 5890, 2692, 1056, 2509, 1056, 2487, 1012, 102, 5890, 2692, 2199, 25604, 102, 0, 0]"
111 t5 t2 .,111 111 100,0 1 2 3,1,"[101, 11118, 1056, 2629, 1056, 2475, 1012, 102, 11118, 11118, 2531, 102, 0, 0, 0, 0]"
001 t6 t5 .,001 010 110,0 1 2 3,1,"[101, 25604, 1056, 2575, 1056, 2629, 1012, 102, 25604, 5890, 2692, 7287, 102, 0, 0, 0]"
000 t3 t2 .,000 111 100,0 1 2 3,1,"[101, 2199, 1056, 2509, 1056, 2475, 1012, 102, 2199, 11118, 2531, 102, 0, 0, 0, 0]"
111 t2 t4 .,111 111 011,0 1 2 3,0,"[101, 11118, 1056, 2475, 1056, 2549, 1012, 102, 11118, 11118, 5890, 2487, 102, 0, 0, 0]"
011 t2 .,011 110,0 1 2,0,"[101, 5890, 2487, 1056, 2475, 1012, 102, 5890, 2487, 7287, 102, 0, 0, 0, 0, 0]"
001 t3 t2 .,001 101 011,0 1 2 3,1,"[101, 25604, 1056, 2509, 1056, 2475, 1012, 102, 25604, 7886, 5890, 2487, 102, 0, 0, 0]"
110 t4 t4 .,110 000 111,0 1 2 3,0,"[101, 7287, 1056, 2549, 1056, 2549, 1012, 102, 7287, 2199, 11118, 102, 0, 0, 0, 0]"
111 t2 t3 .,111 001 001,0 1 2 3,0,"[101, 11118, 1056, 2475, 1056, 2509, 1012, 102, 11118, 25604, 25604, 102, 0, 0, 0, 0]"
101 t3 .,101 111,0 1 2,0,"[101, 7886, 1056, 2509, 1012, 102, 7886, 11118, 102, 0, 0, 0, 0, 0, 0, 0]"
011 t6 t6 .,011 111 100,0 1 2 3,1,"[101, 5890, 2487, 1056, 2575, 1056, 2575, 1012, 102, 5890, 2487, 11118, 2531, 102, 0, 0]"
010 t2 t4 .,010 010 010,0 1 2 3,1,"[101, 5890, 2692, 1056, 2475, 1056, 2549, 1012, 102, 5890, 2692, 5890, 2692, 5890, 2692, 102]"
011 t3 t1 .,011 000 000,0 1 2 3,0,"[101, 5890, 2487, 1056, 2509, 1056, 2487, 1012, 102, 5890, 2487, 2199, 2199, 102, 0, 0]"
011 t4 t3 .,011 101 000,0 1 2 3,1,"[101, 5890, 2487, 1056, 2549, 1056, 2509, 1012, 102, 5890, 2487, 7886, 2199, 102, 0, 0]"
010 t4 t1 .,010 010 101,0 1 2 3,1,"[101, 5890, 2692, 1056, 2549, 1056, 2487, 1012, 102, 5890, 2692, 5890, 2692, 7886, 102, 0]"
010 t6 t1 .,010 111 111,0 1 2 3,0,"[101, 5890, 2692, 1056, 2575, 1056, 2487, 1012, 102, 5890, 2692, 11118, 11118, 102, 0, 0]"
001 t2 t1 .,001 001 001,0 1 2 3,1,"[101, 25604, 1056, 2475, 1056, 2487, 1012, 102, 25604, 25604, 25604, 102, 0, 0, 0, 0]"
111 t5 .,111 110,0 1 2,0,"[101, 11118, 1056, 2629, 1012, 102, 11118, 7287, 102, 0, 0, 0, 0, 0, 0, 0]"
010 t1 t1 .,010 101 000,0 1 2 3,1,"[101, 5890, 2692, 1056, 2487, 1056, 2487, 1012, 102, 5890, 2692, 7886, 2199, 102, 0, 0]"
000 t6 t5 .,000 110 001,0 1 2 3,0,"[101, 2199, 1056, 2575, 1056, 2629, 1012, 102, 2199, 7287, 25604, 102, 0, 0, 0, 0]"
